Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stockholm;98210;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1859-01-01 00:00:00;2020-02-02 23:00:00;43.133;59.3417;18.0549

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2019-11-30 00:00:01;2019-12-01 00:00:00;2019-11-30;-2.1;Y
2019-12-01 00:00:01;2019-12-02 00:00:00;2019-12-01;-1.8;Y
2019-12-02 00:00:01;2019-12-03 00:00:00;2019-12-02;-2.6;Y
2019-12-03 00:00:01;2019-12-04 00:00:00;2019-12-03;-0.9;Y
2019-12-04 00:00:01;2019-12-05 00:00:00;2019-12-04;3.8;Y
2019-12-05 00:00:01;2019-12-06 00:00:00;2019-12-05;6.0;Y
2019-12-06 00:00:01;2019-12-07 00:00:00;2019-12-06;6.1;Y
2019-12-07 00:00:01;2019-12-08 00:00:00;2019-12-07;4.6;Y
2019-12-08 00:00:01;2019-12-09 00:00:00;2019-12-08;3.6;Y
2019-12-09 00:00:01;2019-12-10 00:00:00;2019-12-09;6.2;Y
2019-12-10 00:00:01;2019-12-11 00:00:00;2019-12-10;-2.2;Y
2019-12-11 00:00:01;2019-12-12 00:00:00;2019-12-11;2.9;Y
2019-12-12 00:00:01;2019-12-13 00:00:00;2019-12-12;3.1;Y
2019-12-13 00:00:01;2019-12-14 00:00:00;2019-12-13;3.6;Y
2019-12-14 00:00:01;2019-12-15 00:00:00;2019-12-14;4.0;Y
2019-12-15 00:00:01;2019-12-16 00:00:00;2019-12-15;4.2;Y
2019-12-16 00:00:01;2019-12-17 00:00:00;2019-12-16;3.7;Y
2019-12-17 00:00:01;2019-12-18 00:00:00;2019-12-17;4.0;Y
2019-12-18 00:00:01;2019-12-19 00:00:00;2019-12-18;2.8;Y
2019-12-19 00:00:01;2019-12-20 00:00:00;2019-12-19;0.8;Y
2019-12-20 00:00:01;2019-12-21 00:00:00;2019-12-20;5.1;Y
2019-12-21 00:00:01;2019-12-22 00:00:00;2019-12-21;5.6;Y
2019-12-22 00:00:01;2019-12-23 00:00:00;2019-12-22;5.0;Y
2019-12-23 00:00:01;2019-12-24 00:00:00;2019-12-23;5.1;Y
2019-12-24 00:00:01;2019-12-25 00:00:00;2019-12-24;3.9;Y
2019-12-25 00:00:01;2019-12-26 00:00:00;2019-12-25;3.6;Y
2019-12-26 00:00:01;2019-12-27 00:00:00;2019-12-26;0.8;Y
2019-12-27 00:00:01;2019-12-28 00:00:00;2019-12-27;-0.8;Y
2019-12-28 00:00:01;2019-12-29 00:00:00;2019-12-28;-2.1;Y
2019-12-29 00:00:01;2019-12-30 00:00:00;2019-12-29;2.8;Y
2019-12-30 00:00:01;2019-12-31 00:00:00;2019-12-30;8.1;Y
2019-12-31 00:00:01;2020-01-01 00:00:00;2019-12-31;4.4;Y
2020-01-01 00:00:01;2020-01-02 00:00:00;2020-01-01;3.5;Y
2020-01-02 00:00:01;2020-01-03 00:00:00;2020-01-02;5.8;Y
2020-01-03 00:00:01;2020-01-04 00:00:00;2020-01-03;5.4;Y
2020-01-04 00:00:01;2020-01-05 00:00:00;2020-01-04;2.4;Y
2020-01-05 00:00:01;2020-01-06 00:00:00;2020-01-05;0.1;Y
2020-01-06 00:00:01;2020-01-07 00:00:00;2020-01-06;4.8;Y
2020-01-07 00:00:01;2020-01-08 00:00:00;2020-01-07;5.5;Y
2020-01-08 00:00:01;2020-01-09 00:00:00;2020-01-08;6.5;Y
2020-01-09 00:00:01;2020-01-10 00:00:00;2020-01-09;3.9;Y
2020-01-10 00:00:01;2020-01-11 00:00:00;2020-01-10;1.0;Y
2020-01-11 00:00:01;2020-01-12 00:00:00;2020-01-11;1.2;Y
2020-01-12 00:00:01;2020-01-13 00:00:00;2020-01-12;5.9;Y
2020-01-13 00:00:01;2020-01-14 00:00:00;2020-01-13;2.6;Y
2020-01-14 00:00:01;2020-01-15 00:00:00;2020-01-14;3.8;Y
2020-01-15 00:00:01;2020-01-16 00:00:00;2020-01-15;7.8;Y
2020-01-16 00:00:01;2020-01-17 00:00:00;2020-01-16;6.1;Y
2020-01-17 00:00:01;2020-01-18 00:00:00;2020-01-17;4.8;Y
2020-01-18 00:00:01;2020-01-19 00:00:00;2020-01-18;4.8;Y
2020-01-19 00:00:01;2020-01-20 00:00:00;2020-01-19;3.1;Y
2020-01-20 00:00:01;2020-01-21 00:00:00;2020-01-20;3.8;Y
2020-01-21 00:00:01;2020-01-22 00:00:00;2020-01-21;6.8;Y
2020-01-22 00:00:01;2020-01-23 00:00:00;2020-01-22;3.1;Y
2020-01-23 00:00:01;2020-01-24 00:00:00;2020-01-23;1.5;Y
2020-01-24 00:00:01;2020-01-25 00:00:00;2020-01-24;5.1;Y
2020-01-25 00:00:01;2020-01-26 00:00:00;2020-01-25;2.1;Y
2020-01-26 00:00:01;2020-01-27 00:00:00;2020-01-26;5.8;Y
2020-01-27 00:00:01;2020-01-28 00:00:00;2020-01-27;4.8;Y
2020-01-28 00:00:01;2020-01-29 00:00:00;2020-01-28;3.4;Y
2020-01-29 00:00:01;2020-01-30 00:00:00;2020-01-29;3.3;Y
2020-01-30 00:00:01;2020-01-31 00:00:00;2020-01-30;2.4;Y
2020-01-31 00:00:01;2020-02-01 00:00:00;2020-01-31;3.0;Y
2020-02-01 00:00:01;2020-02-02 00:00:00;2020-02-01;6.1;Y
